Time, EnergyGeneration, StorageCapacity
2022/1/10/18/2, 2510.192, 15000.0
2022/1/10/19/2, 2661.629, 15000.0
2022/1/10/20/2, 2602.14, 15000.0
2022/1/10/21/2, 2610.298, 15000.0
2022/1/10/22/2, 2527.514, 15000.0
2022/1/10/23/2, 2598.288, 15000.0
2022/1/10/24/2, 2732.62, 15000.0
2022/1/11/1/2, 2946.438, 15000.0
2022/1/11/2/2, 3283.684, 15000.0
2022/1/11/3/2, 3417.238, 15000.0
2022/1/11/4/2, 3507.43, 15000.0
2022/1/11/5/2, 3628.582, 15000.0
2022/1/11/6/2, 3799.77, 15000.0
2022/1/11/7/2, 4122.168, 15000.0
2022/1/11/8/2, 4346.169, 15000.0
2022/1/11/9/2, 4630.15, 15000.0
2022/1/11/10/2, 4644.842, 15000.0
2022/1/11/11/2, 4689.593, 15000.0
2022/1/11/12/2, 4694.002, 15000.0
2022/1/11/13/2, 4577.084, 15000.0
2022/1/11/14/2, 4652.374, 15000.0
2022/1/11/15/2, 4564.816, 15000.0
2022/1/11/16/2, 4514.774, 15000.0
2022/1/11/17/2, 4505.318, 15000.0
2022/1/11/18/2, 4627.859, 15000.0
2022/1/11/19/2, 4558.711, 15000.0
2022/1/11/20/2, 4692.035, 15000.0
2022/1/11/21/2, 4672.669, 15000.0
2022/1/11/22/2, 4383.369, 15000.0
2022/1/11/23/2, 4154.478, 15000.0
2022/1/11/24/2, 3962.841, 15000.0
2022/1/12/1/2, 3801.251, 15000.0
2022/1/12/2/2, 3741.939, 15000.0
2022/1/12/3/2, 3528.564, 15000.0
2022/1/12/4/2, 3305.96, 15000.0
2022/1/12/5/2, 3137.03, 15000.0
2022/1/12/6/2, 3401.957, 15000.0
2022/1/12/7/2, 3992.405, 15000.0
2022/1/12/8/2, 4325.95, 15000.0
2022/1/12/9/2, 4614.361, 15000.0
2022/1/12/10/2, 4560.989, 15000.0
2022/1/12/11/2, 4558.618, 15000.0
2022/1/12/12/2, 4691.364, 15000.0
2022/1/12/13/2, 4732.693, 15000.0
2022/1/12/14/2, 4536.083, 15000.0
2022/1/12/15/2, 4540.904, 15000.0
2022/1/12/16/2, 4588.631, 15000.0
2022/1/12/17/2, 4576.778, 15000.0
2022/1/12/18/2, 4741.18, 15000.0
2022/1/12/19/2, 4763.203, 15000.0
2022/1/12/20/2, 4590.824, 15000.0
2022/1/12/21/2, 4461.126, 15000.0
2022/1/12/22/2, 4030.819, 15000.0
2022/1/12/23/2, 3587.806, 15000.0
2022/1/12/24/2, 3476.947, 15000.0
2022/1/13/1/2, 3405.547, 15000.0
2022/1/13/2/2, 3396.273, 15000.0
2022/1/13/3/2, 3310.706, 15000.0
2022/1/13/4/2, 3297.13, 15000.0
2022/1/13/5/2, 3322.025, 15000.0
2022/1/13/6/2, 3378.605, 15000.0
2022/1/13/7/2, 3578.235, 15000.0
2022/1/13/8/2, 3733.177, 15000.0
2022/1/13/9/2, 4100.508, 15000.0
2022/1/13/10/2, 4230.22, 15000.0
2022/1/13/11/2, 4147.388, 15000.0
2022/1/13/12/2, 4034.247, 15000.0
2022/1/13/13/2, 4086.584, 15000.0
2022/1/13/14/2, 4025.934, 15000.0
2022/1/13/15/2, 3958.984, 15000.0
2022/1/13/16/2, 4023.452, 15000.0
2022/1/13/17/2, 4054.288, 15000.0
2022/1/13/18/2, 4304.022, 15000.0
2022/1/13/19/2, 4371.711, 15000.0
2022/1/13/20/2, 4037.33, 15000.0
2022/1/13/21/2, 3816.97, 15000.0
2022/1/13/22/2, 3698.245, 15000.0
2022/1/13/23/2, 3575.961, 15000.0
2022/1/13/24/2, 3585.493, 15000.0
2022/1/14/1/2, 3414.516, 15000.0
2022/1/14/2/2, 3363.636, 15000.0
2022/1/14/3/2, 3304.355, 15000.0
2022/1/14/4/2, 3269.491, 15000.0
2022/1/14/5/2, 3212.213, 15000.0
2022/1/14/6/2, 3347.778, 15000.0
2022/1/14/7/2, 3659.174, 15000.0
2022/1/14/8/2, 4037.804, 15000.0
2022/1/14/9/2, 4410.411, 15000.0
2022/1/14/10/2, 4382.78, 15000.0
2022/1/14/11/2, 4292.203, 15000.0
2022/1/14/12/2, 4384.828, 15000.0
2022/1/14/13/2, 4387.725, 15000.0
2022/1/14/14/2, 4317.101, 15000.0
2022/1/14/15/2, 4276.425, 15000.0
2022/1/14/16/2, 4533.325, 15000.0
2022/1/14/17/2, 4942.668, 15000.0
2022/1/14/18/2, 5215.896, 15000.0
2022/1/14/19/2, 5318.227, 15000.0
2022/1/14/20/2, 5202.003, 15000.0
2022/1/14/21/2, 4746.861, 15000.0
2022/1/14/22/2, 4234.668, 15000.0
2022/1/14/23/2, 3873.583, 15000.0
2022/1/14/24/2, 3720.413, 15000.0
2022/1/15/1/2, 3499.679, 15000.0
2022/1/15/2/2, 3367.715, 15000.0
2022/1/15/3/2, 3383.866, 15000.0
2022/1/15/4/2, 3400.757, 15000.0
2022/1/15/5/2, 3420.852, 15000.0
2022/1/15/6/2, 3514.763, 15000.0
2022/1/15/7/2, 3521.331, 15000.0
2022/1/15/8/2, 3656.152, 15000.0
2022/1/15/9/2, 3775.166, 15000.0
2022/1/15/10/2, 3885.065, 15000.0
2022/1/15/11/2, 3988.238, 15000.0
2022/1/15/12/2, 3950.131, 15000.0
2022/1/15/13/2, 3865.369, 15000.0
2022/1/15/14/2, 3850.048, 15000.0
2022/1/15/15/2, 3834.076, 15000.0
2022/1/15/16/2, 3748.518, 15000.0
2022/1/15/17/2, 3662.913, 15000.0
2022/1/15/18/2, 3742.262, 15000.0
2022/1/15/19/2, 3652.744, 15000.0
2022/1/15/20/2, 3513.387, 15000.0
2022/1/15/21/2, 3715.367, 15000.0
2022/1/15/22/2, 4153.066, 15000.0
2022/1/15/23/2, 3908.802, 15000.0
2022/1/15/24/2, 3754.942, 15000.0
2022/1/16/1/2, 3637.691, 15000.0
2022/1/16/2/2, 3552.927, 15000.0
2022/1/16/3/2, 3466.204, 15000.0
2022/1/16/4/2, 3374.566, 15000.0
2022/1/16/5/2, 3311.224, 15000.0
2022/1/16/6/2, 3294.262, 15000.0
2022/1/16/7/2, 3336.186, 15000.0
2022/1/16/8/2, 3379.102, 15000.0
2022/1/16/9/2, 3720.129, 15000.0
2022/1/16/10/2, 3784.459, 15000.0
2022/1/16/11/2, 3857.478, 15000.0
2022/1/16/12/2, 4059.147, 15000.0
2022/1/16/13/2, 4110.528, 15000.0
2022/1/16/14/2, 4103.296, 15000.0
2022/1/16/15/2, 4015.071, 15000.0
2022/1/16/16/2, 3931.813, 15000.0
2022/1/16/17/2, 3961.123, 15000.0
2022/1/16/18/2, 4195.819, 15000.0
2022/1/16/19/2, 4402.565, 15000.0
2022/1/16/20/2, 4208.449, 15000.0
2022/1/16/21/2, 3789.748, 15000.0
2022/1/16/22/2, 3634.392, 15000.0
2022/1/16/23/2, 3473.032, 15000.0
2022/1/16/24/2, 3336.935, 15000.0
2022/1/17/1/3, 3081.511, 15000.0
2022/1/17/2/3, 2945.057, 15000.0
2022/1/17/3/3, 2759.494, 15000.0
2022/1/17/4/3, 2900.551, 15000.0
2022/1/17/5/3, 3087.07, 15000.0
2022/1/17/6/3, 3303.217, 15000.0
2022/1/17/7/3, 3746.725, 15000.0
2022/1/17/8/3, 4236.241, 15000.0
2022/1/17/9/3, 4550.173, 15000.0
2022/1/17/10/3, 4453.16, 15000.0
2022/1/17/11/3, 4436.223, 15000.0
2022/1/17/12/3, 4484.309, 15000.0
2022/1/17/13/3, 4441.961, 15000.0
2022/1/17/14/3, 4258.845, 15000.0
2022/1/17/15/3, 4379.798, 15000.0
2022/1/17/16/3, 4548.799, 15000.0
2022/1/17/17/3, 5044.567, 15000.0
2022/1/17/18/3, 5226.086, 15000.0
2022/1/17/19/3, 5252.017, 15000.0
2022/1/17/20/3, 5187.187, 15000.0
2022/1/17/21/3, 4903.916, 15000.0
2022/1/17/22/3, 4543.102, 15000.0
2022/1/17/23/3, 4441.189, 15000.0
2022/1/17/24/3, 4262.749, 15000.0
2022/1/18/1/3, 4013.399, 15000.0
2022/1/18/2/3, 3806.469, 15000.0
2022/1/18/3/3, 3718.083, 15000.0
2022/1/18/4/3, 3687.866, 15000.0
2022/1/18/5/3, 3651.405, 15000.0
2022/1/18/6/3, 3327.205, 15000.0
2022/1/18/7/3, 3438.775, 15000.0
2022/1/18/8/3, 3194.443, 15000.0
2022/1/18/9/3, 3289.503, 15000.0
2022/1/18/10/3, 3518.243, 15000.0
2022/1/18/11/3, 3902.064, 15000.0
2022/1/18/12/3, 4332.005, 15000.0
2022/1/18/13/3, 4600.88, 15000.0
2022/1/18/14/3, 4765.182, 15000.0
2022/1/18/15/3, 4705.671, 15000.0
2022/1/18/16/3, 4504.139, 15000.0
2022/1/18/17/3, 4584.634, 15000.0
2022/1/18/18/3, 4584.472, 15000.0
2022/1/18/19/3, 4596.297, 15000.0
2022/1/18/20/3, 4437.973, 15000.0
2022/1/18/21/3, 4368.928, 15000.0
2022/1/18/22/3, 4220.3, 15000.0
2022/1/18/23/3, 3911.933, 15000.0
2022/1/18/24/3, 3702.53, 15000.0
2022/1/19/1/3, 3360.111, 15000.0
2022/1/19/2/3, 3362.109, 15000.0
2022/1/19/3/3, 3244.843, 15000.0
2022/1/19/4/3, 3222.272, 15000.0
2022/1/19/5/3, 3334.595, 15000.0
2022/1/19/6/3, 3478.279, 15000.0
2022/1/19/7/3, 3864.751, 15000.0
2022/1/19/8/3, 4455.344, 15000.0
2022/1/19/9/3, 4598.584, 15000.0
2022/1/19/10/3, 4540.179, 15000.0
2022/1/19/11/3, 4507.824, 15000.0
2022/1/19/12/3, 4524.157, 15000.0
2022/1/19/13/3, 4434.746, 15000.0
2022/1/19/14/3, 4325.66, 15000.0
2022/1/19/15/3, 4200.893, 15000.0
2022/1/19/16/3, 4173.416, 15000.0
2022/1/19/17/3, 4308.942, 15000.0
2022/1/19/18/3, 4330.248, 15000.0
2022/1/19/19/3, 4429.759, 15000.0
2022/1/19/20/3, 4393.273, 15000.0
2022/1/19/21/3, 3566.049, 15000.0
2022/1/19/22/3, 2728.234, 15000.0
2022/1/19/23/3, 2616.984, 15000.0
2022/1/19/24/3, 2627.141, 15000.0
2022/1/20/1/3, 2561.238, 15000.0
2022/1/20/2/3, 2739.546, 15000.0
2022/1/20/3/3, 2821.642, 15000.0
2022/1/20/4/3, 2980.747, 15000.0
2022/1/20/5/3, 3025.376, 15000.0
2022/1/20/6/3, 3182.259, 15000.0
2022/1/20/7/3, 3750.957, 15000.0
2022/1/20/8/3, 4299.689, 15000.0
2022/1/20/9/3, 4602.521, 15000.0
2022/1/20/10/3, 4548.198, 15000.0
2022/1/20/11/3, 4472.645, 15000.0
2022/1/20/12/3, 4395.733, 15000.0
2022/1/20/13/3, 4305.423, 15000.0
2022/1/20/14/3, 4164.27, 15000.0
2022/1/20/15/3, 4083.037, 15000.0
2022/1/20/16/3, 4124.784, 15000.0
2022/1/20/17/3, 4399.556, 15000.0
2022/1/20/18/3, 4802.947, 15000.0
2022/1/20/19/3, 4960.373, 15000.0
2022/1/20/20/3, 5004.957, 15000.0
2022/1/20/21/3, 4772.305, 15000.0
2022/1/20/22/3, 4450.913, 15000.0
2022/1/20/23/3, 4316.937, 15000.0
2022/1/20/24/3, 4193.487, 15000.0
2022/1/21/1/3, 3848.135, 15000.0
2022/1/21/2/3, 3676.255, 15000.0
2022/1/21/3/3, 3702.945, 15000.0
2022/1/21/4/3, 3705.207, 15000.0
2022/1/21/5/3, 3717.991, 15000.0
2022/1/21/6/3, 3791.605, 15000.0
2022/1/21/7/3, 4035.793, 15000.0
2022/1/21/8/3, 4556.572, 15000.0
2022/1/21/9/3, 4987.77, 15000.0
2022/1/21/10/3, 5026.592, 15000.0
2022/1/21/11/3, 4782.546, 15000.0
2022/1/21/12/3, 4791.206, 15000.0
2022/1/21/13/3, 4658.171, 15000.0
2022/1/21/14/3, 4839.684, 15000.0
2022/1/21/15/3, 4889.514, 15000.0
2022/1/21/16/3, 4989.786, 15000.0
2022/1/21/17/3, 5069.939, 15000.0
2022/1/21/18/3, 5202.684, 15000.0
2022/1/21/19/3, 5097.62, 15000.0
2022/1/21/20/3, 4969.111, 15000.0
2022/1/21/21/3, 4724.338, 15000.0
2022/1/21/22/3, 4372.637, 15000.0
2022/1/21/23/3, 4019.069, 15000.0
2022/1/21/24/3, 3632.053, 15000.0
2022/1/22/1/3, 3391.552, 15000.0
2022/1/22/2/3, 3029.149, 15000.0
2022/1/22/3/3, 2689.475, 15000.0
2022/1/22/4/3, 2473.202, 15000.0
2022/1/22/5/3, 2298.381, 15000.0
2022/1/22/6/3, 2156.989, 15000.0
2022/1/22/7/3, 2048.526, 15000.0
2022/1/22/8/3, 2094.866, 15000.0
2022/1/22/9/3, 2298.766, 15000.0
2022/1/22/10/3, 2500.412, 15000.0
2022/1/22/11/3, 2594.291, 15000.0
2022/1/22/12/3, 2695.151, 15000.0
2022/1/22/13/3, 2830.582, 15000.0
2022/1/22/14/3, 2923.302, 15000.0
2022/1/22/15/3, 3087.336, 15000.0
2022/1/22/16/3, 3366.37, 15000.0
2022/1/22/17/3, 3628.04, 15000.0
2022/1/22/18/3, 3887.008, 15000.0
2022/1/22/19/3, 4096.04, 15000.0
2022/1/22/20/3, 4373.517, 15000.0
2022/1/22/21/3, 4381.218, 15000.0
2022/1/22/22/3, 4118.031, 15000.0
2022/1/22/23/3, 4081.059, 15000.0
2022/1/22/24/3, 4079.09, 15000.0
2022/1/23/1/3, 4047.183, 15000.0
2022/1/23/2/3, 3871.747, 15000.0
2022/1/23/3/3, 3778.472, 15000.0
2022/1/23/4/3, 3638.36, 15000.0
2022/1/23/5/3, 3560.034, 15000.0
2022/1/23/6/3, 3461.513, 15000.0
2022/1/23/7/3, 3451.377, 15000.0
2022/1/23/8/3, 3493.485, 15000.0
2022/1/23/9/3, 3536.554, 15000.0
2022/1/23/10/3, 3634.605, 15000.0
2022/1/23/11/3, 3828.235, 15000.0
2022/1/23/12/3, 3962.764, 15000.0
2022/1/23/13/3, 3829.841, 15000.0
2022/1/23/14/3, 3780.344, 15000.0
2022/1/23/15/3, 3776.944, 15000.0
2022/1/23/16/3, 3744.413, 15000.0
2022/1/23/17/3, 3987.893, 15000.0
2022/1/23/18/3, 4233.082, 15000.0
2022/1/23/19/3, 4316.398, 15000.0
2022/1/23/20/3, 4309.234, 15000.0
2022/1/23/21/3, 4171.607, 15000.0
2022/1/23/22/3, 3857.979, 15000.0
2022/1/23/23/3, 3877.663, 15000.0
2022/1/23/24/3, 3604.982, 15000.0
2022/1/24/1/4, 3480.985, 15000.0
2022/1/24/2/4, 3474.07, 15000.0
2022/1/24/3/4, 3506.611, 15000.0
2022/1/24/4/4, 3447.189, 15000.0
2022/1/24/5/4, 3412.032, 15000.0
2022/1/24/6/4, 3585.823, 15000.0
2022/1/24/7/4, 3633.727, 15000.0
2022/1/24/8/4, 3812.084, 15000.0
2022/1/24/9/4, 4399.289, 15000.0
2022/1/24/10/4, 4688.016, 15000.0
2022/1/24/11/4, 4617.932, 15000.0
2022/1/24/12/4, 4619.775, 15000.0
2022/1/24/13/4, 4550.256, 15000.0
2022/1/24/14/4, 4364.569, 15000.0
2022/1/24/15/4, 4223.667, 15000.0
2022/1/24/16/4, 4215.942, 15000.0
2022/1/24/17/4, 4339.969, 15000.0
2022/1/24/18/4, 4513.423, 15000.0
2022/1/24/19/4, 4689.747, 15000.0
2022/1/24/20/4, 4689.055, 15000.0
2022/1/24/21/4, 4286.349, 15000.0
2022/1/24/22/4, 3887.043, 15000.0
2022/1/24/23/4, 3771.835, 15000.0
2022/1/24/24/4, 3746.731, 15000.0
2022/1/25/1/4, 3485.477, 15000.0
2022/1/25/2/4, 3400.81, 15000.0
2022/1/25/3/4, 3375.779, 15000.0
2022/1/25/4/4, 3335.079, 15000.0
2022/1/25/5/4, 3325.979, 15000.0
2022/1/25/6/4, 3353.494, 15000.0
2022/1/25/7/4, 3617.411, 15000.0
2022/1/25/8/4, 4180.896, 15000.0
2022/1/25/9/4, 4362.292, 15000.0
2022/1/25/10/4, 4309.27, 15000.0
2022/1/25/11/4, 4226.539, 15000.0
2022/1/25/12/4, 3874.536, 15000.0
2022/1/25/13/4, 3705.692, 15000.0
